utterance_id,timestamp,channel,device_type,region,language,utterance_text,asr_confidence,duration_seconds,intent,split
utt_ng_176cc0cb,2026-02-17T15:53:40,mobile_app_voice,android,Rivers,yo,Mo fe bẹrẹ aplikasiyo fun ID card,0.656,9,start_new_application,train
utt_ng_99d382d0,2026-02-16T21:09:40,mobile_app_voice,feature_phone,Lagos,mixed,Mofe cancel appointment mi,0.81,7,cancel_or_reschedule_appointment,train
utt_ng_83df7b99,2026-02-21T19:55:40,whatsapp_voice_note,feature_phone,Enugu,yo,Bawo ni mo se le wo ipo ti aplikasiyo mi?,0.67,7,check_application_status,train
utt_ng_29701092,2026-02-28T12:23:40,whatsapp_voice_note,android,Kaduna,mixed,Mo need to complain,0.869,8,complaint_or_support_ticket,train
utt_ng_989833a7,2026-03-11T17:54:40,mobile_app_voice,feature_phone,Rivers,yo,Elo ni owo ti passport?,0.801,6,fees_information,train
utt_ng_1d5e1fe8,2026-03-11T00:29:40,mobile_app_voice,feature_phone,Abuja,en,I paid but not confirmed,0.705,6,payment_help,train
utt_ng_3bc8b819,2026-03-04T22:49:40,ivr,android,Port Harcourt,en,My payment is not going through,0.677,5,payment_help,train
utt_ng_ff4cb312,2026-03-14T17:27:40,ivr,android,Lagos,yo,Mo fe mọ ipo mi,0.77,6,check_application_status,train
utt_ng_9cada141,2026-02-23T01:44:40,whatsapp_voice_note,ios,Lagos,mixed,Mo fe correct mistake mi,0.684,12,update_application_details,train
utt_ng_665b4f24,2026-02-21T15:34:40,whatsapp_voice_note,web,Oyo,en,I'm having payment issues help me,0.664,4,payment_help,train
utt_ng_5a82e520,2026-02-14T06:17:40,ivr,web,Oyo,en,My payment failed,0.689,11,payment_help,train
utt_ng_d5ec87ef,2026-02-27T03:32:40,ivr,ios,Rivers,yo,Mo fe apply fun passport,0.784,10,start_new_application,train
utt_ng_744bca5e,2026-02-19T13:22:40,ivr,android,Rivers,yo,Status ti application mi ni kini?,0.701,11,check_application_status,train
utt_ng_24c1835b,2026-03-02T06:38:40,whatsapp_voice_note,android,Delta,en,Help me reset my password,0.761,3,reset_password_login_help,train
utt_ng_4dca6324,2026-03-09T23:07:40,ivr,ios,Port Harcourt,en,I forgot password,0.665,7,reset_password_login_help,train
utt_ng_e679db5c,2026-03-02T06:15:40,whatsapp_voice_note,web,Rivers,yo,Mo fe start application tuntun,0.802,8,start_new_application,train
utt_ng_cf1cdb49,2026-03-10T06:22:40,voice_call,web,Abuja,mixed,Mo need to update,0.862,3,update_application_details,train
utt_ng_b61020b3,2026-02-18T05:49:40,voice_call,web,Kaduna,en,What is the application fee?,0.724,6,fees_information,train
utt_ng_16e785aa,2026-03-08T18:46:40,mobile_app_voice,ios,Oyo,mixed,Se mo eligible fun passport?,0.716,11,service_eligibility,train
utt_ng_0fdca0bd,2026-03-09T18:22:40,whatsapp_voice_note,web,Oyo,mixed,Se mo eligible fun passport? help me,0.83,11,service_eligibility,train
utt_ng_8de7444d,2026-02-28T07:20:40,voice_call,ios,Oyo,mixed,Mo want to report,0.889,11,complaint_or_support_ticket,train
utt_ng_5fb320cc,2026-02-12T16:55:40,ivr,web,Enugu,en,I cannot access my account help me,0.69,12,reset_password_login_help,train
utt_ng_fc1b118a,2026-03-13T18:28:40,mobile_app_voice,feature_phone,Delta,yo,Mo fe mọ awọn nkan ti mo nilo,0.895,3,requirements_information,train
utt_ng_c26c7897,2026-02-28T07:20:40,whatsapp_voice_note,ios,Enugu,mixed,Mo fe help to upload now,0.671,3,document_upload_help,train
utt_ng_b0f51fec,2026-02-25T02:40:40,ivr,feature_phone,Delta,en,I want to book appointment please,0.862,11,appointment_booking,train
utt_ng_20c10754,2026-02-25T10:00:40,whatsapp_voice_note,web,Abuja,en,I need appointment for driving license,0.717,6,appointment_booking,train
utt_ng_53cf3491,2026-02-25T10:59:40,ivr,ios,Delta,en,I forgot my password,0.669,3,reset_password_login_help,train
utt_ng_417e7f03,2026-03-11T09:28:40,whatsapp_voice_note,android,Enugu,yo,Ipo ti mo submit ni kini?,0.765,10,check_application_status,train
utt_ng_ecc718a5,2026-02-20T17:50:40,whatsapp_voice_note,feature_phone,Port Harcourt,en,Book appointment for me,0.839,7,appointment_booking,train
utt_ng_dd5976cd,2026-02-13T15:49:40,ivr,web,Abuja,mixed,Upload ko work,0.692,6,document_upload_help,train
utt_ng_36cc1806,2026-03-10T12:38:40,mobile_app_voice,ios,Abuja,en,My payment is not going through,0.746,8,payment_help,train
utt_ng_52a09c3d,2026-02-22T16:02:40,whatsapp_voice_note,ios,Lagos,mixed,Upload ko work,0.888,12,document_upload_help,train
utt_ng_d2ff72fc,2026-02-23T07:45:40,ivr,feature_phone,Delta,yo,Elo ni owo fun ID card?,0.725,6,fees_information,train
utt_ng_5138d449,2026-02-24T10:01:40,voice_call,android,Enugu,mixed,Mo need to complain,0.691,8,complaint_or_support_ticket,train
utt_ng_041f864f,2026-03-14T05:24:40,whatsapp_voice_note,web,Oyo,en,I want to schedule now,0.774,12,appointment_booking,train
utt_ng_454221be,2026-03-12T02:14:40,whatsapp_voice_note,feature_phone,Port Harcourt,yo,Bawo ni awọn nkan ti mo nilo?,0.734,10,requirements_information,train
utt_ng_f254b886,2026-02-28T02:33:40,mobile_app_voice,feature_phone,Kano,mixed,Mo have problem pẹlu upload,0.716,3,document_upload_help,train
utt_ng_f76f7c6a,2026-03-11T05:22:40,whatsapp_voice_note,android,Lagos,yo,Mo fe bẹrẹ application tuntun,0.877,11,start_new_application,train
utt_ng_92f22b93,2026-02-19T07:41:40,mobile_app_voice,web,Enugu,en,My payment failed,0.761,11,payment_help,train
utt_ng_fc189c53,2026-02-17T18:24:40,mobile_app_voice,web,Kano,yo,Kini o nilo fun aplikasiyo?,0.684,7,requirements_information,train
utt_ng_85615a5e,2026-02-18T09:50:40,ivr,ios,Rivers,mixed,UUpload ko work,0.736,7,document_upload_help,train
utt_ng_d681f030,2026-03-05T15:04:40,voice_call,web,Kaduna,mixed,Bawo ni mo se le upload dokument?,0.72,7,document_upload_help,train
utt_ng_53375aea,2026-02-25T09:15:40,mobile_app_voice,android,Rivers,mixed,Mo fe correct mistake mi,0.777,3,update_application_details,train
utt_ng_452441a4,2026-03-14T14:41:40,mobile_app_voice,ios,Port Harcourt,mixed,Mo fe help to upload,0.949,10,document_upload_help,train
utt_ng_31699c79,2026-02-25T12:22:40,ivr,ios,Port Harcourt,yo,Mo fe bẹrẹ aplikasiyo fun passport,0.933,9,start_new_application,train
utt_ng_277ba73b,2026-02-13T02:14:40,whatsapp_voice_note,android,Port Harcourt,mixed,Mo fe change date,0.818,11,cancel_or_reschedule_appointment,train
utt_ng_623f187a,2026-03-13T05:35:40,ivr,web,Ibadan,yo,Mo fe bẹrẹ application tuntun,0.8,9,start_new_application,train
utt_ng_dd5e5f6a,2026-02-17T05:16:40,ivr,ios,Oyo,mixed,Mo fe mọ se mo qualify,0.897,4,service_eligibility,train
utt_ng_513c3499,2026-02-21T06:55:40,whatsapp_voice_note,ios,Rivers,mixed,Mo fe make complaint,0.928,11,complaint_or_support_ticket,train
utt_ng_0fc22c33,2026-03-15T05:35:40,voice_call,web,Abuja,en,I need to change my password,0.934,9,reset_password_login_help,train
utt_ng_4df7fad0,2026-02-22T15:52:40,mobile_app_voice,ios,Delta,mixed,Am I eligible?,0.879,11,service_eligibility,train
utt_ng_83a94bfe,2026-02-22T21:30:40,mobile_app_voice,web,Ibadan,en,My payment failed,0.93,11,payment_help,train
utt_ng_a1cd511a,2026-02-18T22:23:40,mobile_app_voice,android,Kano,en,I paid but not confirmed,0.654,4,payment_help,train
utt_ng_887f7cf7,2026-02-23T23:58:40,mobile_app_voice,ios,Abuja,en,I'm having payment issues,0.778,9,payment_help,train
utt_ng_db11129f,2026-03-03T13:31:40,ivr,web,Ibadan,en,I need to know the cost,0.786,12,fees_information,train
utt_ng_1da56df7,2026-03-03T12:58:40,whatsapp_voice_note,android,Enugu,yo,Bawo ni mo se le wo ipo ti aplikasiyo mi?,0.653,6,check_application_status,train
utt_ng_688933ee,2026-02-22T21:39:40,mobile_app_voice,android,Delta,mixed,Mo fe speak to person,0.898,8,speak_to_agent,train
utt_ng_afd164fd,2026-03-08T10:22:40,whatsapp_voice_note,android,Kano,mixed,Mo want to correct help me,0.709,3,update_application_details,train
utt_ng_7a5e9997,2026-02-25T13:54:40,voice_call,ios,Ibadan,mixed,Mo fe help to upload,0.885,11,document_upload_help,train
utt_ng_d3846d58,2026-02-22T16:42:40,ivr,ios,Abuja,en,How can I book an appointment?,0.781,7,appointment_booking,train
utt_ng_85863e64,2026-03-07T21:51:40,mobile_app_voice,android,Ibadan,mixed,Mo fe correct mistake mi,0.758,9,update_application_details,train
utt_ng_d2ea9991,2026-03-12T23:53:40,ivr,web,Kaduna,yo,Status ti application mi ni kini?,0.758,6,check_application_status,train
utt_ng_108bb5b1,2026-02-26T09:29:40,voice_call,web,Delta,mixed,Mo fe report problem,0.743,4,complaint_or_support_ticket,train
utt_ng_68c9112c,2026-03-14T22:35:40,voice_call,ios,Kano,mixed,Mo fe speak to person,0.795,3,speak_to_agent,train
utt_ng_d49b6bf1,2026-02-14T10:40:40,whatsapp_voice_note,web,Kano,yo,Mo fe start application tuntun,0.742,9,start_new_application,train
utt_ng_3417fc63,2026-03-05T16:44:40,whatsapp_voice_note,android,Enugu,en,Whatis the cost for driving license?,0.848,7,fees_information,train
utt_ng_df969285,2026-03-05T17:47:40,ivr,ios,Kano,mixed,Mo want to report,0.748,4,complaint_or_support_ticket,train
utt_ng_291ec4a0,2026-02-13T17:08:40,whatsapp_voice_note,ios,Abuja,mixed,Mo fe talk to customer service,0.852,12,speak_to_agent,train
utt_ng_e41b7ad5,2026-02-19T06:11:40,voice_call,web,Enugu,yo,Mo fe mọ awọn nkan ti mo nilo help me,0.907,4,requirements_information,train
utt_ng_8b4fb23b,2026-03-02T19:06:40,ivr,android,Kaduna,mixed,Mo fe make complaint,0.849,7,complaint_or_support_ticket,train
utt_ng_41c3a8a2,2026-03-15T11:47:40,ivr,android,Delta,yo,Bawo ni mo se le apply?,0.669,12,start_new_application,train
utt_ng_39542efb,2026-03-02T16:19:40,whatsapp_voice_note,feature_phone,Enugu,en,Let me talk to human being,0.89,6,speak_to_agent,train
utt_ng_f117483a,2026-03-05T09:47:40,ivr,web,Kaduna,yo,Elo ni owo fun ID card!,0.784,12,fees_information,train
utt_ng_a0767352,2026-03-08T16:43:40,mobile_app_voice,android,Kaduna,yo,Kini awọn nkan ti mo gbọdọ have? now,0.747,10,requirements_information,train
utt_ng_116fc4e5,2026-02-28T14:48:40,whatsapp_voice_note,android,Rivers,en,I want to know the fee,0.881,6,fees_information,train
utt_ng_8c1312b1,2026-02-19T00:58:40,mobile_app_voice,web,Kaduna,yo,Se mo le wo ipo ti aplikasiyo mi?,0.942,8,check_application_status,train
utt_ng_8ffc4c6a,2026-03-06T23:35:40,voice_call,feature_phone,Kaduna,en,I need to make an appointment help me,0.703,11,appointment_booking,train
utt_ng_6a81dee2,2026-02-19T12:43:40,mobile_app_voice,web,Enugu,en,My payment is not going through,0.824,5,payment_help,train
utt_ng_97b2ab6f,2026-03-11T05:12:40,ivr,web,Enugu,mixed,Am I eligible?,0.744,8,service_eligibility,train
utt_ng_33e8523d,2026-02-14T16:24:40,voice_call,web,Abuja,mixed,Mo fe correct mistake mi,0.651,8,update_application_details,train
utt_ng_d6d26084,2026-02-27T23:48:40,mobile_app_voice,ios,Lagos,mixed,Mo fe talk to customer service,0.788,3,speak_to_agent,train
utt_ng_cf5c6014,2026-02-18T09:31:40,whatsapp_voice_note,feature_phone,Kano,mixed,Mo have problem pẹlu upload,0.924,7,document_upload_help,train
utt_ng_6453eff5,2026-02-27T14:52:40,ivr,ios,Kaduna,yo,Kini o nilo fun aplikasiyo?,0.846,11,requirements_information,train
utt_ng_6d54bff1,2026-02-23T12:27:40,voice_call,web,Kaduna,mixed,Mo have issue,0.859,5,complaint_or_support_ticket,train
utt_ng_66d9e68a,2026-02-20T23:56:40,ivr,web,Enugu,yo,Mo fe mọ ipo ti aplikasiyo mi,0.751,8,check_application_status,train
utt_ng_224ecf44,2026-02-17T15:14:40,mobile_app_voice,ios,Kaduna,mixed,Mo have problem pẹlu upload,0.771,5,document_upload_help,train
utt_ng_ba720251,2026-03-05T08:55:40,whatsapp_voice_note,feature_phone,Port Harcourt,en,I cannot access my account,0.857,9,reset_password_login_help,train
utt_ng_cabd41cf,2026-03-03T06:53:40,ivr,android,Lagos,mixed,Mo have issue,0.788,4,complaint_or_support_ticket,train
utt_ng_e491e160,2026-03-12T10:20:40,mobile_app_voice,web,Kano,mixed,"Ehen, Mo fe change appointment mi help me",0.664,10,cancel_or_reschedule_appointment,train
utt_ng_d16a87b2,2026-02-28T07:51:40,voice_call,android,Delta,yo,Mo need to start application,0.727,7,start_new_application,train
utt_ng_ca4b5ce6,2026-02-22T04:08:40,voice_call,ios,Abuja,mixed,Mo have issue,0.765,10,complaint_or_support_ticket,train
utt_ng_692c7af4,2026-02-21T22:57:40,voice_call,feature_phone,Enugu,yo,Se application mi ti ready?,0.762,5,check_application_status,train
utt_ng_ff79745e,2026-03-10T00:41:40,ivr,web,Rivers,mixed,Mo fe change information,0.771,4,update_application_details,train
utt_ng_4123dd3f,2026-03-14T08:53:40,ivr,ios,Lagos,yo,Mo fe bẹrẹ application fun driving license,0.929,12,start_new_application,train
utt_ng_b34d5340,2026-02-27T09:23:40,whatsapp_voice_note,web,Kaduna,en,I forgot my password,0.742,10,reset_password_login_help,train
utt_ng_1ba0c114,2026-02-20T00:54:40,mobile_app_voice,android,Abuja,yo,Mo fe bẹrẹ application fun driving license,0.758,9,start_new_application,train
utt_ng_ba769c9d,2026-02-20T00:47:40,voice_call,feature_phone,Port Harcourt,en,Can I book an appt?,0.925,6,appointment_booking,train
utt_ng_fdebeb7f,2026-03-13T10:54:40,voice_call,feature_phone,Rivers,yo,Mo fe start application tuntun,0.858,8,start_new_application,train
utt_ng_c0889907,2026-02-19T01:30:40,whatsapp_voice_note,ios,Lagos,yo,Elo ni application fee?,0.815,9,fees_information,train
utt_ng_ba6f0768,2026-02-21T08:36:40,whatsapp_voice_note,web,Oyo,mixed,Mo want to cancel,0.824,8,cancel_or_reschedule_appointment,train
utt_ng_b948ec62,2026-03-01T15:40:40,whatsapp_voice_note,ios,Oyo,mixed,Mo want to correct,0.75,11,update_application_details,train
utt_ng_b9794df9,2026-03-04T18:36:40,ivr,web,Abuja,yo,Status ti application mi ni kini?,0.773,7,check_application_status,train
utt_ng_634cf976,2026-02-19T14:09:40,whatsapp_voice_note,feature_phone,Ibadan,mixed,Mo fe talk to customer service,0.8,3,speak_to_agent,train
utt_ng_6e96be9a,2026-02-14T17:26:40,mobile_app_voice,feature_phone,Ibadan,mixed,Se mo eligible fun passport? o,0.723,6,service_eligibility,train
utt_ng_5d068d88,2026-02-25T21:07:40,whatsapp_voice_note,ios,Ibadan,mixed,Mo fe make complaint,0.735,9,complaint_or_support_ticket,train
utt_ng_d64821d1,2026-02-24T03:16:40,whatsapp_voice_note,web,Kaduna,en,Can't llog in,0.699,7,reset_password_login_help,train
utt_ng_9cd020c6,2026-02-19T10:26:40,voice_call,android,Lagos,yo,Kini awọn nkan ti mo gbọdọ have,0.727,3,requirements_information,train
utt_ng_1205af43,2026-03-03T11:05:40,mobile_app_voice,feature_phone,Enugu,mixed,Mo fe help to upload,0.885,12,document_upload_help,train
utt_ng_fed429bd,2026-03-04T03:43:40,ivr,ios,Port Harcourt,mixed,Mo fe update details mi,0.892,9,update_application_details,train
utt_ng_0f40d91b,2026-03-13T15:54:40,whatsapp_voice_note,feature_phone,Port Harcourt,yo,Mo fe wo ipo ti aplikasiyo mi,0.765,3,check_application_status,train
utt_ng_deca155c,2026-02-13T15:59:40,voice_call,android,Lagos,mixed,Upload mi ko work,0.924,3,document_upload_help,train
utt_ng_feee7e06,2026-02-27T06:10:40,whatsapp_voice_note,android,Delta,en,My payment failed,0.7,12,payment_help,train
utt_ng_3d037fea,2026-02-24T23:20:40,ivr,ios,Abuja,en,I cannot access my account,0.89,7,reset_password_login_help,train
utt_ng_57124af6,2026-02-21T00:47:40,mobile_app_voice,android,Port Harcourt,yo,Kini awọn dokumẹnti ti mo nilo?,0.658,11,requirements_information,train
utt_ng_135def63,2026-02-13T20:25:40,mobile_app_voice,feature_phone,Ibadan,mixed,Upload ko work,0.752,11,document_upload_help,train
utt_ng_22987def,2026-02-15T18:10:40,voice_call,feature_phone,Delta,yo,Kini awọn nkan ti mo gbọdọ have?,0.675,8,requirements_information,train
utt_ng_2ff84c0b,2026-02-17T13:51:40,ivr,feature_phone,Delta,yo,Kini awọn dokumẹnti ti mo gbọdọ prepare?,0.662,12,requirements_information,train
utt_ng_a0103ae4,2026-03-07T09:30:40,voice_call,web,Lagos,en,"Ehen, My payment is not going through",0.828,5,payment_help,train
utt_ng_af933d33,2026-02-16T16:53:40,ivr,android,Kaduna,en,I need to make an appointment,0.742,5,appointment_booking,train
utt_ng_50b0cd7c,2026-03-12T21:26:40,ivr,web,Oyo,yo,Mo fe mọ ipo mi,0.884,4,check_application_status,train
utt_ng_b6d6a2ca,2026-02-22T19:17:40,whatsapp_voice_note,ios,Kaduna,en,I need to change my password,0.843,9,reset_password_login_help,train
utt_ng_8224b14d,2026-03-03T15:29:40,mobile_app_voice,web,Rivers,yo,Mo fe mọ price,0.723,4,fees_information,train
utt_ng_c7070cfb,2026-02-20T00:18:40,voice_call,web,Enugu,en,Payment not working,0.72,7,payment_help,train
utt_ng_2eefdeb3,2026-03-12T11:53:40,whatsapp_voice_note,feature_phone,Ibadan,mixed,Mo fe talk to customer service,0.92,10,speak_to_agent,train
utt_ng_1b9b71af,2026-02-26T13:38:40,mobile_app_voice,feature_phone,Port Harcourt,yo,Elo ni application fee?,0.676,12,fees_information,train
utt_ng_4029e0dd,2026-02-26T17:33:40,whatsapp_voice_note,feature_phone,Port Harcourt,mixed,Se mo eligible fun passport?,0.703,11,service_eligibility,train
utt_ng_879acd12,2026-03-02T15:31:40,ivr,feature_phone,Abuja,yo,Mo fe wo ipo ti mo submit,0.651,8,check_application_status,train
utt_ng_131f0fd5,2026-03-09T11:10:40,mobile_app_voice,ios,Lagos,en,I need to reset my passwrd,0.871,5,reset_password_login_help,train
utt_ng_21635735,2026-03-01T21:53:40,whatsapp_voice_note,feature_phone,Enugu,en,Password reset help,0.68,10,reset_password_login_help,train
utt_ng_f3b05559,2026-02-17T16:52:40,mobile_app_voice,android,Abuja,mixed,Se mo le apply? help me,0.766,11,service_eligibility,train
utt_ng_dfd9aad1,2026-02-22T04:52:40,mobile_app_voice,web,Abuja,mixed,Mo fe mọ se mo qualify now,0.896,9,service_eligibility,train
utt_ng_f90b366f,2026-02-28T19:37:40,ivr,ios,Port Harcourt,en,"Ehen, I can't login",0.799,8,reset_password_login_help,train
utt_ng_443e0ef7,2026-03-14T18:30:40,ivr,feature_phone,Abuja,en,Password reset help,0.845,5,reset_password_login_help,train
utt_ng_df58436a,2026-03-07T00:57:40,ivr,feature_phone,Kano,yo,Se mo le wo ipo ti aplikasiyo mi?,0.944,8,check_application_status,train
utt_ng_424fadd2,2026-03-03T03:34:40,ivr,ios,Kaduna,yo,Bawo ni awọn nkan ti mo nilo?,0.652,11,requirements_information,train
utt_ng_1dceec86,2026-02-25T08:36:40,ivr,feature_phone,Lagos,mixed,Se mo can get service?,0.689,6,service_eligibility,train
utt_ng_9aa281b9,2026-02-26T13:40:40,voice_call,ios,Delta,mixed,Mo fe update details mi,0.942,11,update_application_details,train
utt_ng_bc160809,2026-03-08T04:07:40,mobile_app_voice,web,Rivers,yo,Bawo ni mo se le apply,0.712,11,start_new_application,train
utt_ng_b00ed683,2026-02-24T11:35:40,ivr,ios,Kano,mixed,Mo fe talk to customer service now,0.812,12,speak_to_agent,train
utt_ng_f9f6b7c4,2026-02-23T21:41:40,whatsapp_voice_note,android,Kaduna,yo,Bawo ni mo se le apply!,0.851,3,start_new_application,train
utt_ng_6c7d7c41,2026-02-26T19:32:40,voice_call,web,Rivers,mixed,Mo have issue,0.789,5,complaint_or_support_ticket,train
utt_ng_302bcc7f,2026-03-01T02:24:40,voice_call,android,Abuja,yo,Bawo ni owo ti aplikasiyo?,0.768,4,fees_information,train
utt_ng_94919701,2026-03-03T01:03:40,whatsapp_voice_note,ios,Enugu,mixed,Am I eligible? o,0.823,11,service_eligibility,train
utt_ng_987f2378,2026-02-18T20:32:40,ivr,web,Rivers,mixed,Mo fe change information,0.86,11,update_application_details,train
utt_ng_1da6efab,2026-02-22T18:36:40,whatsapp_voice_note,ios,Oyo,yo,Mo fe check status mi,0.742,6,check_application_status,train
utt_ng_35fc0e5c,2026-02-13T08:00:40,mobile_app_voice,ios,Abuja,mixed,Se mo eligible fun passport?,0.83,4,service_eligibility,train
utt_ng_c3dbab3d,2026-03-04T19:06:40,voice_call,android,Abuja,en,Help me reset my password,0.918,3,reset_password_login_help,train
utt_ng_474b13d7,2026-03-05T22:40:40,voice_call,web,Lagos,mixed,Mo fe update details mi,0.877,5,update_application_details,train
utt_ng_81f50fca,2026-02-17T23:10:40,whatsapp_voice_note,feature_phone,Oyo,mixed,Mo want to speak to agent,0.703,7,speak_to_agent,train
utt_ng_de90cc86,2026-02-27T18:49:40,voice_call,android,Delta,mixed,Mo fe report problem,0.652,9,complaint_or_support_ticket,train
utt_ng_f1ee17aa,2026-03-05T01:36:40,ivr,web,Delta,en,How much does it cost?,0.925,8,fees_information,train
utt_ng_086b4b50,2026-02-21T22:54:40,mobile_app_voice,ios,Oyo,en,Let me speak to agent help me,0.754,12,speak_to_agent,train
utt_ng_f261aa8e,2026-02-24T09:51:40,voice_call,ios,Delta,mixed,Mo fe change date,0.775,5,cancel_or_reschedule_appointment,train
utt_ng_88ec8a59,2026-03-10T05:16:40,whatsapp_voice_note,android,Lagos,en,I need to change my password,0.753,11,reset_password_login_help,train
utt_ng_c0e75387,2026-02-26T14:38:40,ivr,android,Delta,yo,Kini awọn dokumẹnti ti mo nilo? help me,0.776,11,requirements_information,train
utt_ng_00b5d501,2026-03-10T01:59:40,ivr,web,Delta,mixed,"Ehen, Mo fe speak to person",0.778,7,speak_to_agent,train
utt_ng_d06b5996,2026-03-06T04:40:40,voice_call,android,Oyo,yo,Mo fe start application tuntun,0.665,7,start_new_application,train
utt_ng_12de3712,2026-03-05T15:41:40,voice_call,web,Kano,mixed,Mo have issue,0.807,5,complaint_or_support_ticket,train
utt_ng_2c360f30,2026-03-10T13:05:40,mobile_app_voice,web,Enugu,mixed,Mo fe speak to person,0.813,5,speak_to_agent,train
utt_ng_0dd8bd5d,2026-03-14T08:59:40,voice_call,ios,Delta,mixed,Mo need to update,0.819,4,update_application_details,train
utt_ng_20938d4a,2026-02-15T09:41:40,whatsapp_voice_note,android,Delta,yo,Bawo ni awọn nkan ti mo nilo?,0.757,5,requirements_information,train
utt_ng_073af521,2026-02-21T07:32:40,voice_call,feature_phone,Abuja,yo,Kini awọn nkan ti mo nilo fun passport?,0.864,11,requirements_information,train
utt_ng_4100f52a,2026-03-15T10:48:40,voice_call,feature_phone,Ibadan,mixed,Mo fe connect to person,0.833,11,speak_to_agent,train
utt_ng_c4f2870a,2026-03-04T00:19:40,whatsapp_voice_note,feature_phone,Rivers,mixed,Semo can get service?,0.867,5,service_eligibility,train
utt_ng_124132a5,2026-02-28T20:37:40,mobile_app_voice,web,Rivers,mixed,Mo fe connect to person,0.874,8,speak_to_agent,train
utt_ng_cc09854a,2026-02-25T19:21:40,mobile_app_voice,ios,Oyo,mixed,Mo need to talk to human,0.945,11,speak_to_agent,train
utt_ng_9f14094e,2026-02-26T07:28:40,ivr,ios,Oyo,en,I forgot my password,0.67,6,reset_password_login_help,train
utt_ng_cb9a5793,2026-03-01T00:49:40,mobile_app_voice,ios,Rivers,mixed,Mo fe change information,0.891,10,update_application_details,train
utt_ng_5a64781e,2026-03-08T14:30:40,ivr,android,Ibadan,en,My payment failed,0.72,8,payment_help,train
utt_ng_f6d850ba,2026-03-02T01:05:40,ivr,web,Kaduna,mixed,Am I eligible?,0.701,7,service_eligibility,train
utt_ng_63e8987e,2026-02-27T11:49:40,voice_call,web,Enugu,mixed,Mo need to talk to human,0.745,9,speak_to_agent,train
utt_ng_66fe4862,2026-03-10T00:49:40,voice_call,android,Lagos,mixed,"Ehen, Mo fe make complaint o",0.696,4,complaint_or_support_ticket,train
utt_ng_9ae9147f,2026-02-14T14:49:40,voice_call,feature_phone,Ibadan,yo,Mo fe mọ ipo mi,0.653,3,check_application_status,train
utt_ng_25446f07,2026-03-01T18:12:40,mobile_app_voice,web,Abuja,mixed,Mo want to cancel,0.877,10,cancel_or_reschedule_appointment,train
utt_ng_89c70410,2026-02-26T17:34:40,whatsapp_voice_note,ios,Rivers,en,Book me an apointment,0.846,6,appointment_booking,train
utt_ng_816af289,2026-02-14T21:59:40,whatsapp_voice_note,ios,Abuja,yo,Kini awọn nkan ti mo gbọdọ have?,0.69,9,requirements_information,train
utt_ng_d09b7503,2026-03-11T00:41:40,whatsapp_voice_note,ios,Lagos,yo,Mo fe wo ipo ti mo submit,0.95,8,check_application_status,train
utt_ng_f408b9fa,2026-02-13T01:53:40,voice_call,android,Delta,mixed,Mo fe make complaint,0.803,11,complaint_or_support_ticket,train
utt_ng_8a0dfde9,2026-02-27T16:09:40,mobile_app_voice,ios,Kaduna,yo,Elo ni application fee?,0.823,5,fees_information,train
utt_ng_f535bf1b,2026-03-03T11:20:40,mobile_app_voice,web,Ibadan,en,Can I book an appointment?,0.907,10,appointment_booking,train
utt_ng_9bb689e7,2026-02-13T15:13:40,voice_call,feature_phone,Kano,yo,Mo fe check status mi,0.68,3,check_application_status,train
utt_ng_c8a42fd6,2026-02-21T20:57:40,mobile_app_voice,web,Kaduna,yo,Elo ni owo fun ID card?,0.754,7,fees_information,train
utt_ng_5956a3a5,2026-03-11T13:48:40,voice_call,feature_phone,Port Harcourt,en,I forgot password,0.748,7,reset_password_login_help,train
utt_ng_1b35cc61,2026-03-14T21:30:40,ivr,feature_phone,Rivers,en,Password reset help,0.909,8,reset_password_login_help,train
utt_ng_af198866,2026-02-27T18:28:40,ivr,feature_phone,Rivers,yo,Bawo ni awọn nkan ti mo nilo? please,0.743,8,requirements_information,train
utt_ng_e4c84083,2026-02-28T07:04:40,ivr,feature_phone,Kano,en,How can I book an appointment?,0.654,3,appointment_booking,train
utt_ng_63bf6c22,2026-02-26T00:34:40,whatsapp_voice_note,ios,Ibadan,mixed,Upload ko work,0.741,7,document_upload_help,train
utt_ng_9e71ce0a,2026-02-27T19:09:40,whatsapp_voice_note,feature_phone,Delta,mixed,Mo want to cancel,0.94,10,cancel_or_reschedule_appointment,train
utt_ng_650c23bb,2026-03-02T03:50:40,ivr,web,Kano,yo,Ipo ti mo submit ni kini? please,0.8,9,check_application_status,train
utt_ng_ed6508a8,2026-02-15T05:00:40,ivr,web,Ibadan,mixed,Mo need to upgrade,0.825,5,update_application_details,train
utt_ng_2bf3a503,2026-02-16T05:25:40,mobile_app_voice,android,Ibadan,yo,Mo fe bẹrẹ application fun driving license,0.74,7,start_new_application,train
utt_ng_2b21b5eb,2026-03-10T22:46:40,ivr,ios,Enugu,yo,Bawo ni awọn dokumẹnti ti mo nilo?,0.852,12,requirements_information,train
utt_ng_3a19a4a9,2026-02-15T12:35:40,ivr,web,Abuja,en,Help me with payment help me,0.784,8,payment_help,train
utt_ng_319e65d9,2026-03-02T02:16:40,whatsapp_voice_note,android,Kaduna,yo,Bawo ni mo se le bẹrẹ aplikasiyo? help me,0.796,7,start_new_application,train
